t,Sv0,Sv1,Sh0,Sr0,Sr1,Sr2,Sr3,Sr4,Sr5,Sr6,Iv0,Iv1,Ih0,Ir0,Ir1,Ir2,Ir3,Ir4,Ir5,Ir6,Rv0,Rv1,Rh0,Rr0,Rr1,Rr2,Rr3,Rr4,Rr5,Rr6,cumIv0,cumIv1,cumIh0,cumIr0,cumIr1,cumIr2,cumIr3,cumIr4,cumIr5,cumIr6,cumIv,pIv,pIh,pIr
352,0.0795296,0.0795296,0.0529625,0.0460205,0.0460205,0.0460205,0.0460205,0.0460205,0.0460205,0.0460205,0.000126163,0.000126163,0.000327877,0.00036848,0.00036848,0.00036848,0.00036848,0.00036848,0.00036848,0.00036848,0.0203442,0.0203442,0.0467096,0.0536111,0.0536111,0.0536111,0.0536111,0.0536111,0.0536111,0.0536111,0.0324073,0.0324073,0.0682514,0.0778291,0.0778291,0.0778291,0.0778291,0.0778291,0.0778291,0.0778291,0.0648146,0.00126163,0.00327877,0.0036848
353,0.0795737,0.0795737,0.0530597,0.0461326,0.0461326,0.0461326,0.0461326,0.0461326,0.0461326,0.0461326,0.000123218,0.000123218,0.000320659,0.000360574,0.000360574,0.000360574,0.000360574,0.000360574,0.000360574,0.000360574,0.0203031,0.0203031,0.0466196,0.0535069,0.0535069,0.0535069,0.0535069,0.0535069,0.0535069,0.0535069,0.0324189,0.0324189,0.068282,0.0778637,0.0778637,0.0778637,0.0778637,0.0778637,0.0778637,0.0778637,0.0648378,0.00123218,0.00320659,0.00360574
354,0.0796179,0.0796179,0.0531573,0.046245,0.046245,0.046245,0.046245,0.046245,0.046245,0.046245,0.000120367,0.000120367,0.000313669,0.000352917,0.000352917,0.000352917,0.000352917,0.000352917,0.000352917,0.000352917,0.0202617,0.0202617,0.046529,0.053402,0.053402,0.053402,0.053402,0.053402,0.053402,0.053402,0.0324303,0.0324303,0.068312,0.0778977,0.0778977,0.0778977,0.0778977,0.0778977,0.0778977,0.0778977,0.0648605,0.00120367,0.00313669,0.00352917
355,0.0796622,0.0796622,0.0532552,0.0463579,0.0463579,0.0463579,0.0463579,0.0463579,0.0463579,0.0463579,0.000117608,0.000117608,0.000306901,0.0003455,0.0003455,0.0003455,0.0003455,0.0003455,0.0003455,0.0003455,0.0202202,0.0202202,0.0464379,0.0532966,0.0532966,0.0532966,0.0532966,0.0532966,0.0532966,0.0532966,0.0324414,0.0324414,0.0683414,0.077931,0.077931,0.077931,0.077931,0.077931,0.077931,0.077931,0.0648828,0.00117608,0.00306901,0.003455
356,0.0797067,0.0797067,0.0533534,0.046471,0.046471,0.046471,0.046471,0.046471,0.046471,0.046471,0.000114936,0.000114936,0.000300346,0.000338315,0.000338315,0.000338315,0.000338315,0.000338315,0.000338315,0.000338315,0.0201784,0.0201784,0.0463462,0.0531907,0.0531907,0.0531907,0.0531907,0.0531907,0.0531907,0.0531907,0.0324523,0.0324523,0.0683703,0.0779638,0.0779638,0.0779638,0.0779638,0.0779638,0.0779638,0.0779638,0.0649046,0.00114936,0.00300346,0.00338315
357,0.0797512,0.0797512,0.053452,0.0465845,0.0465845,0.0465845,0.0465845,0.0465845,0.0465845,0.0465845,0.000112349,0.000112349,0.000293997,0.000331354,0.000331354,0.000331354,0.000331354,0.000331354,0.000331354,0.000331354,0.0201364,0.0201364,0.046254,0.0530841,0.0530841,0.0530841,0.0530841,0.0530841,0.0530841,0.0530841,0.032463,0.032463,0.0683986,0.0779959,0.0779959,0.0779959,0.0779959,0.0779959,0.0779959,0.0779959,0.0649259,0.00112349,0.00293997,0.00331354
358,0.0797959,0.0797959,0.0535508,0.0466983,0.0466983,0.0466983,0.0466983,0.0466983,0.0466983,0.0466983,0.000109845,0.000109845,0.000287848,0.00032461,0.00032461,0.00032461,0.00032461,0.00032461,0.00032461,0.00032461,0.0200943,0.0200943,0.0461614,0.0529771,0.0529771,0.0529771,0.0529771,0.0529771,0.0529771,0.0529771,0.0324734,0.0324734,0.0684264,0.0780274,0.0780274,0.0780274,0.0780274,0.0780274,0.0780274,0.0780274,0.0649468,0.00109845,0.00287848,0.0032461
359,0.0798406,0.0798406,0.0536498,0.0468123,0.0468123,0.0468123,0.0468123,0.0468123,0.0468123,0.0468123,0.00010742,0.00010742,0.000281891,0.000318075,0.000318075,0.000318075,0.000318075,0.000318075,0.000318075,0.000318075,0.020052,0.020052,0.0460683,0.0528696,0.0528696,0.0528696,0.0528696,0.0528696,0.0528696,0.0528696,0.0324837,0.0324837,0.0684537,0.0780584,0.0780584,0.0780584,0.0780584,0.0780584,0.0780584,0.0780584,0.0649673,0.0010742,0.00281891,0.00318075
360,0.0798855,0.0798855,0.0537491,0.0469266,0.0469266,0.0469266,0.0469266,0.0469266,0.0469266,0.0469266,0.000105071,0.000105071,0.00027612,0.000311742,0.000311742,0.000311742,0.000311742,0.000311742,0.000311742,0.000311742,0.0200095,0.0200095,0.0459747,0.0527617,0.0527617,0.0527617,0.0527617,0.0527617,0.0527617,0.0527617,0.0324937,0.0324937,0.0684805,0.0780888,0.0780888,0.0780888,0.0780888,0.0780888,0.0780888,0.0780888,0.0649874,0.00105071,0.0027612,0.00311742
361,0.0799304,0.0799304,0.0538487,0.0470411,0.0470411,0.0470411,0.0470411,0.0470411,0.0470411,0.0470411,0.000102797,0.000102797,0.000270528,0.000305605,0.000305605,0.000305605,0.000305605,0.000305605,0.000305605,0.000305605,0.0199668,0.0199668,0.0458808,0.0526533,0.0526533,0.0526533,0.0526533,0.0526533,0.0526533,0.0526533,0.0325036,0.0325036,0.0685068,0.0781186,0.0781186,0.0781186,0.0781186,0.0781186,0.0781186,0.0781186,0.0650072,0.00102797,0.00270528,0.00305605
362,0.0799753,0.0799753,0.0539484,0.0471559,0.0471559,0.0471559,0.0471559,0.0471559,0.0471559,0.0471559,0.000100595,0.000100595,0.000265111,0.000299657,0.000299657,0.000299657,0.000299657,0.000299657,0.000299657,0.000299657,0.0199241,0.0199241,0.0457865,0.0525445,0.0525445,0.0525445,0.0525445,0.0525445,0.0525445,0.0525445,0.0325132,0.0325132,0.0685326,0.078148,0.078148,0.078148,0.078148,0.078148,0.078148,0.078148,0.0650265,0.00100595,0.00265111,0.00299657
363,0.0800204,0.0800204,0.0540483,0.0472708,0.0472708,0.0472708,0.0472708,0.0472708,0.0472708,0.0472708,9.85E-05,9.85E-05,0.000259861,0.000293893,0.000293893,0.000293893,0.000293893,0.000293893,0.000293893,0.000293893,0.0198811,0.0198811,0.0456918,0.0524353,0.0524353,0.0524353,0.0524353,0.0524353,0.0524353,0.0524353,0.0325227,0.0325227,0.068558,0.0781769,0.0781769,0.0781769,0.0781769,0.0781769,0.0781769,0.0781769,0.0650454,0.000984613,0.00259861,0.00293893
364,0.0800655,0.0800655,0.0541484,0.0473859,0.0473859,0.0473859,0.0473859,0.0473859,0.0473859,0.0473859,9.64E-05,9.64E-05,0.000254774,0.000288305,0.000288305,0.000288305,0.000288305,0.000288305,0.000288305,0.000288305,0.0198381,0.0198381,0.0455968,0.0523258,0.0523258,0.0523258,0.0523258,0.0523258,0.0523258,0.0523258,0.032532,0.032532,0.068583,0.0782053,0.0782053,0.0782053,0.0782053,0.0782053,0.0782053,0.0782053,0.065064,0.000963949,0.00254774,0.00288305
365,0.0801107,0.0801107,0.0542487,0.0475012,0.0475012,0.0475012,0.0475012,0.0475012,0.0475012,0.0475012,9.44E-05,9.44E-05,0.000249844,0.000282888,0.000282888,0.000282888,0.000282888,0.000282888,0.000282888,0.000282888,0.0197949,0.0197949,0.0455014,0.0522159,0.0522159,0.0522159,0.0522159,0.0522159,0.0522159,0.0522159,0.0325412,0.0325412,0.0686075,0.0782332,0.0782332,0.0782332,0.0782332,0.0782332,0.0782332,0.0782332,0.0650823,0.000943932,0.00249844,0.00282888
366,0.0801559,0.0801559,0.0543492,0.0476167,0.0476167,0.0476167,0.0476167,0.0476167,0.0476167,0.0476167,9.25E-05,9.25E-05,0.000245066,0.000277636,0.000277636,0.000277636,0.000277636,0.000277636,0.000277636,0.000277636,0.0197517,0.0197517,0.0454058,0.0521057,0.0521057,0.0521057,0.0521057,0.0521057,0.0521057,0.0521057,0.0325501,0.0325501,0.0686316,0.0782606,0.0782606,0.0782606,0.0782606,0.0782606,0.0782606,0.0782606,0.0651002,0.00092454,0.00245066,0.00277636
367,0.0802011,0.0802011,0.0544497,0.0477323,0.0477323,0.0477323,0.0477323,0.0477323,0.0477323,0.0477323,9.06E-05,9.06E-05,0.000240434,0.000272545,0.000272545,0.000272545,0.000272545,0.000272545,0.000272545,0.000272545,0.0197083,0.0197083,0.0453098,0.0519952,0.0519952,0.0519952,0.0519952,0.0519952,0.0519952,0.0519952,0.0325589,0.0325589,0.0686553,0.0782876,0.0782876,0.0782876,0.0782876,0.0782876,0.0782876,0.0782876,0.0651178,0.000905752,0.00240434,0.00272545
368,0.0802464,0.0802464,0.0545504,0.047848,0.047848,0.047848,0.047848,0.047848,0.047848,0.047848,8.88E-05,8.88E-05,0.000235945,0.000267608,0.000267608,0.000267608,0.000267608,0.000267608,0.000267608,0.000267608,0.0196648,0.0196648,0.0452136,0.0518844,0.0518844,0.0518844,0.0518844,0.0518844,0.0518844,0.0518844,0.0325676,0.0325676,0.0686786,0.0783142,0.0783142,0.0783142,0.0783142,0.0783142,0.0783142,0.0783142,0.0651351,0.000887549,0.00235945,0.00267608
369,0.0802918,0.0802918,0.0546513,0.0479638,0.0479638,0.0479638,0.0479638,0.0479638,0.0479638,0.0479638,8.70E-05,8.70E-05,0.000231593,0.000262822,0.000262822,0.000262822,0.000262822,0.000262822,0.000262822,0.000262822,0.0196213,0.0196213,0.0451172,0.0517733,0.0517733,0.0517733,0.0517733,0.0517733,0.0517733,0.0517733,0.032576,0.032576,0.0687015,0.0783404,0.0783404,0.0783404,0.0783404,0.0783404,0.0783404,0.0783404,0.0651521,0.000869911,0.00231593,0.00262822
370,0.0803371,0.0803371,0.0547522,0.0480798,0.0480798,0.0480798,0.0480798,0.0480798,0.0480798,0.0480798,8.53E-05,8.53E-05,0.000227374,0.00025818,0.00025818,0.00025818,0.00025818,0.00025818,0.00025818,0.00025818,0.0195776,0.0195776,0.0450205,0.051662,0.051662,0.051662,0.051662,0.051662,0.051662,0.051662,0.0325844,0.0325844,0.068724,0.0783661,0.0783661,0.0783661,0.0783661,0.0783661,0.0783661,0.0783661,0.0651688,0.000852819,0.00227374,0.0025818
371,0.0803825,0.0803825,0.0548532,0.0481958,0.0481958,0.0481958,0.0481958,0.0481958,0.0481958,0.0481958,8.36E-05,8.36E-05,0.000223283,0.000253679,0.000253679,0.000253679,0.000253679,0.000253679,0.000253679,0.000253679,0.0195339,0.0195339,0.0449235,0.0515505,0.0515505,0.0515505,0.0515505,0.0515505,0.0515505,0.0515505,0.0325926,0.0325926,0.0687462,0.0783915,0.0783915,0.0783915,0.0783915,0.0783915,0.0783915,0.0783915,0.0651852,0.000836255,0.00223283,0.00253679
372,0.0804279,0.0804279,0.0549543,0.0483119,0.0483119,0.0483119,0.0483119,0.0483119,0.0483119,0.0483119,8.20E-05,8.20E-05,0.000219318,0.000249314,0.000249314,0.000249314,0.000249314,0.000249314,0.000249314,0.000249314,0.0194901,0.0194901,0.0448264,0.0514388,0.0514388,0.0514388,0.0514388,0.0514388,0.0514388,0.0514388,0.0326006,0.0326006,0.0687681,0.0784165,0.0784165,0.0784165,0.0784165,0.0784165,0.0784165,0.0784165,0.0652013,0.000820203,0.00219318,0.00249314
373,0.0804733,0.0804733,0.0550554,0.0484281,0.0484281,0.0484281,0.0484281,0.0484281,0.0484281,0.0484281,8.05E-05,8.05E-05,0.000215472,0.000245081,0.000245081,0.000245081,0.000245081,0.000245081,0.000245081,0.000245081,0.0194462,0.0194462,0.0447291,0.0513269,0.0513269,0.0513269,0.0513269,0.0513269,0.0513269,0.0513269,0.0326086,0.0326086,0.0687896,0.0784411,0.0784411,0.0784411,0.0784411,0.0784411,0.0784411,0.0784411,0.0652171,0.000804645,0.00215472,0.00245081
374,0.0805187,0.0805187,0.0551566,0.0485443,0.0485443,0.0485443,0.0485443,0.0485443,0.0485443,0.0485443,7.90E-05,7.90E-05,0.000211743,0.000240975,0.000240975,0.000240975,0.000240975,0.000240975,0.000240975,0.000240975,0.0194023,0.0194023,0.0446316,0.0512147,0.0512147,0.0512147,0.0512147,0.0512147,0.0512147,0.0512147,0.0326164,0.0326164,0.0688108,0.0784653,0.0784653,0.0784653,0.0784653,0.0784653,0.0784653,0.0784653,0.0652327,0.000789565,0.00211743,0.00240975
375,0.0805642,0.0805642,0.0552579,0.0486605,0.0486605,0.0486605,0.0486605,0.0486605,0.0486605,0.0486605,7.75E-05,7.75E-05,0.000208128,0.000236993,0.000236993,0.000236993,0.000236993,0.000236993,0.000236993,0.000236993,0.0193584,0.0193584,0.044534,0.0511025,0.0511025,0.0511025,0.0511025,0.0511025,0.0511025,0.0511025,0.032624,0.032624,0.0688317,0.0784892,0.0784892,0.0784892,0.0784892,0.0784892,0.0784892,0.0784892,0.0652481,0.000774948,0.00208128,0.00236993
376,0.0806096,0.0806096,0.0553592,0.0487768,0.0487768,0.0487768,0.0487768,0.0487768,0.0487768,0.0487768,7.61E-05,7.61E-05,0.000204621,0.000233131,0.000233131,0.000233131,0.000233131,0.000233131,0.000233131,0.000233131,0.0193143,0.0193143,0.0444362,0.05099,0.05099,0.05099,0.05099,0.05099,0.05099,0.05099,0.0326316,0.0326316,0.0688523,0.0785128,0.0785128,0.0785128,0.0785128,0.0785128,0.0785128,0.0785128,0.0652631,0.000760779,0.00204621,0.00233131
377,0.080655,0.080655,0.0554605,0.0488931,0.0488931,0.0488931,0.0488931,0.0488931,0.0488931,0.0488931,7.47E-05,7.47E-05,0.000201221,0.000229384,0.000229384,0.000229384,0.000229384,0.000229384,0.000229384,0.000229384,0.0192703,0.0192703,0.0443382,0.0508775,0.0508775,0.0508775,0.0508775,0.0508775,0.0508775,0.0508775,0.032639,0.032639,0.0688726,0.078536,0.078536,0.078536,0.078536,0.078536,0.078536,0.078536,0.065278,0.000747043,0.00201221,0.00229384
378,0.0807004,0.0807004,0.0555619,0.0490094,0.0490094,0.0490094,0.0490094,0.0490094,0.0490094,0.0490094,7.34E-05,7.34E-05,0.000197923,0.00022575,0.00022575,0.00022575,0.00022575,0.00022575,0.00022575,0.00022575,0.0192262,0.0192262,0.0442402,0.0507648,0.0507648,0.0507648,0.0507648,0.0507648,0.0507648,0.0507648,0.0326463,0.0326463,0.0688925,0.078559,0.078559,0.078559,0.078559,0.078559,0.078559,0.078559,0.0652926,0.000733726,0.00197923,0.0022575
379,0.0807459,0.0807459,0.0556633,0.0491258,0.0491258,0.0491258,0.0491258,0.0491258,0.0491258,0.0491258,7.21E-05,7.21E-05,0.000194725,0.000222225,0.000222225,0.000222225,0.000222225,0.000222225,0.000222225,0.000222225,0.0191821,0.0191821,0.044142,0.050652,0.050652,0.050652,0.050652,0.050652,0.050652,0.050652,0.0326535,0.0326535,0.0689123,0.0785816,0.0785816,0.0785816,0.0785816,0.0785816,0.0785816,0.0785816,0.065307,0.000720816,0.00194725,0.00222225
380,0.0807913,0.0807913,0.0557646,0.0492421,0.0492421,0.0492421,0.0492421,0.0492421,0.0492421,0.0492421,7.08E-05,7.08E-05,0.000191623,0.000218805,0.000218805,0.000218805,0.000218805,0.000218805,0.000218805,0.000218805,0.0191379,0.0191379,0.0440438,0.0505391,0.0505391,0.0505391,0.0505391,0.0505391,0.0505391,0.0505391,0.0326606,0.0326606,0.0689317,0.0786039,0.0786039,0.0786039,0.0786039,0.0786039,0.0786039,0.0786039,0.0653212,0.000708298,0.00191623,0.00218805
381,0.0808367,0.0808367,0.055866,0.0493584,0.0493584,0.0493584,0.0493584,0.0493584,0.0493584,0.0493584,6.96E-05,6.96E-05,0.000188614,0.000215488,0.000215488,0.000215488,0.000215488,0.000215488,0.000215488,0.000215488,0.0190937,0.0190937,0.0439454,0.0504262,0.0504262,0.0504262,0.0504262,0.0504262,0.0504262,0.0504262,0.0326676,0.0326676,0.0689509,0.0786259,0.0786259,0.0786259,0.0786259,0.0786259,0.0786259,0.0786259,0.0653351,0.000696161,0.00188614,0.00215488
382,0.080882,0.080882,0.0559673,0.0494746,0.0494746,0.0494746,0.0494746,0.0494746,0.0494746,0.0494746,6.84E-05,6.84E-05,0.000185696,0.00021227,0.00021227,0.00021227,0.00021227,0.00021227,0.00021227,0.00021227,0.0190495,0.0190495,0.043847,0.0503131,0.0503131,0.0503131,0.0503131,0.0503131,0.0503131,0.0503131,0.0326744,0.0326744,0.0689698,0.0786476,0.0786476,0.0786476,0.0786476,0.0786476,0.0786476,0.0786476,0.0653489,0.000684393,0.00185696,0.0021227
383,0.0809274,0.0809274,0.0560686,0.0495908,0.0495908,0.0495908,0.0495908,0.0495908,0.0495908,0.0495908,6.73E-05,6.73E-05,0.000182866,0.000209148,0.000209148,0.000209148,0.000209148,0.000209148,0.000209148,0.000209148,0.0190053,0.0190053,0.0437485,0.0502,0.0502,0.0502,0.0502,0.0502,0.0502,0.0502,0.0326812,0.0326812,0.0689885,0.0786691,0.0786691,0.0786691,0.0786691,0.0786691,0.0786691,0.0786691,0.0653624,0.000672982,0.00182866,0.00209148
384,0.0809727,0.0809727,0.0561699,0.049707,0.049707,0.049707,0.049707,0.049707,0.049707,0.049707,6.62E-05,6.62E-05,0.000180121,0.00020612,0.00020612,0.00020612,0.00020612,0.00020612,0.00020612,0.00020612,0.0189611,0.0189611,0.04365,0.0500869,0.0500869,0.0500869,0.0500869,0.0500869,0.0500869,0.0500869,0.0326879,0.0326879,0.0690069,0.0786903,0.0786903,0.0786903,0.0786903,0.0786903,0.0786903,0.0786903,0.0653758,0.000661916,0.00180121,0.0020612
385,0.081018,0.081018,0.0562712,0.0498231,0.0498231,0.0498231,0.0498231,0.0498231,0.0498231,0.0498231,6.51E-05,6.51E-05,0.000177458,0.000203183,0.000203183,0.000203183,0.000203183,0.000203183,0.000203183,0.000203183,0.0189169,0.0189169,0.0435514,0.0499737,0.0499737,0.0499737,0.0499737,0.0499737,0.0499737,0.0499737,0.0326945,0.0326945,0.0690251,0.0787112,0.0787112,0.0787112,0.0787112,0.0787112,0.0787112,0.0787112,0.065389,0.000651186,0.00177458,0.00203183
386,0.0810633,0.0810633,0.0563724,0.0499392,0.0499392,0.0499392,0.0499392,0.0499392,0.0499392,0.0499392,6.41E-05,6.41E-05,0.000174876,0.000200334,0.000200334,0.000200334,0.000200334,0.000200334,0.000200334,0.000200334,0.0188726,0.0188726,0.0434527,0.0498605,0.0498605,0.0498605,0.0498605,0.0498605,0.0498605,0.0498605,0.032701,0.032701,0.0690431,0.0787319,0.0787319,0.0787319,0.0787319,0.0787319,0.0787319,0.0787319,0.065402,0.00064078,0.00174876,0.00200334
387,0.0811085,0.0811085,0.0564735,0.0500552,0.0500552,0.0500552,0.0500552,0.0500552,0.0500552,0.0500552,6.31E-05,6.31E-05,0.000172371,0.00019757,0.00019757,0.00019757,0.00019757,0.00019757,0.00019757,0.00019757,0.0188284,0.0188284,0.0433541,0.0497472,0.0497472,0.0497472,0.0497472,0.0497472,0.0497472,0.0497472,0.0327074,0.0327074,0.0690608,0.0787524,0.0787524,0.0787524,0.0787524,0.0787524,0.0787524,0.0787524,0.0654148,0.00063069,0.00172371,0.0019757
388,0.0811537,0.0811537,0.0565747,0.0501711,0.0501711,0.0501711,0.0501711,0.0501711,0.0501711,0.0501711,6.21E-05,6.21E-05,0.000169942,0.00019489,0.00019489,0.00019489,0.00019489,0.00019489,0.00019489,0.00019489,0.0187842,0.0187842,0.0432554,0.049634,0.049634,0.049634,0.049634,0.049634,0.049634,0.049634,0.0327137,0.0327137,0.0690784,0.0787726,0.0787726,0.0787726,0.0787726,0.0787726,0.0787726,0.0787726,0.0654274,0.000620904,0.00169942,0.0019489
389,0.0811989,0.0811989,0.0566757,0.050287,0.050287,0.050287,0.050287,0.050287,0.050287,0.050287,6.11E-05,6.11E-05,0.000167586,0.00019229,0.00019229,0.00019229,0.00019229,0.00019229,0.00019229,0.00019229,0.01874,0.01874,0.0431567,0.0495207,0.0495207,0.0495207,0.0495207,0.0495207,0.0495207,0.0495207,0.03272,0.03272,0.0690957,0.0787926,0.0787926,0.0787926,0.0787926,0.0787926,0.0787926,0.0787926,0.0654399,0.000611414,0.00167586,0.0019229
390,0.081244,0.081244,0.0567767,0.0504027,0.0504027,0.0504027,0.0504027,0.0504027,0.0504027,0.0504027,6.02E-05,6.02E-05,0.000165301,0.000189768,0.000189768,0.000189768,0.000189768,0.000189768,0.000189768,0.000189768,0.0186958,0.0186958,0.043058,0.0494075,0.0494075,0.0494075,0.0494075,0.0494075,0.0494075,0.0494075,0.0327261,0.0327261,0.0691128,0.0788124,0.0788124,0.0788124,0.0788124,0.0788124,0.0788124,0.0788124,0.0654522,0.000602211,0.00165301,0.00189768
391,0.0812891,0.0812891,0.0568775,0.0505184,0.0505184,0.0505184,0.0505184,0.0505184,0.0505184,0.0505184,5.93E-05,5.93E-05,0.000163085,0.000187323,0.000187323,0.000187323,0.000187323,0.000187323,0.000187323,0.000187323,0.0186516,0.0186516,0.0429594,0.0492943,0.0492943,0.0492943,0.0492943,0.0492943,0.0492943,0.0492943,0.0327322,0.0327322,0.0691298,0.0788319,0.0788319,0.0788319,0.0788319,0.0788319,0.0788319,0.0788319,0.0654644,0.000593287,0.00163085,0.00187323
392,0.0813341,0.0813341,0.0569783,0.0506339,0.0506339,0.0506339,0.0506339,0.0506339,0.0506339,0.0506339,5.85E-05,5.85E-05,0.000160936,0.000184951,0.000184951,0.000184951,0.000184951,0.000184951,0.000184951,0.000184951,0.0186074,0.0186074,0.0428607,0.0491811,0.0491811,0.0491811,0.0491811,0.0491811,0.0491811,0.0491811,0.0327382,0.0327382,0.0691465,0.0788513,0.0788513,0.0788513,0.0788513,0.0788513,0.0788513,0.0788513,0.0654764,0.000584632,0.00160936,0.00184951
393,0.0813791,0.0813791,0.0570791,0.0507494,0.0507494,0.0507494,0.0507494,0.0507494,0.0507494,0.0507494,5.76E-05,5.76E-05,0.000158852,0.000182651,0.000182651,0.000182651,0.000182651,0.000182651,0.000182651,0.000182651,0.0185633,0.0185633,0.0427621,0.049068,0.049068,0.049068,0.049068,0.049068,0.049068,0.049068,0.0327441,0.0327441,0.0691631,0.0788704,0.0788704,0.0788704,0.0788704,0.0788704,0.0788704,0.0788704,0.0654883,0.000576239,0.00158852,0.00182651
394,0.081424,0.081424,0.0571797,0.0508647,0.0508647,0.0508647,0.0508647,0.0508647,0.0508647,0.0508647,5.68E-05,5.68E-05,0.000156832,0.000180422,0.000180422,0.000180422,0.000180422,0.000180422,0.000180422,0.000180422,0.0185192,0.0185192,0.0426635,0.0489549,0.0489549,0.0489549,0.0489549,0.0489549,0.0489549,0.0489549,0.03275,0.03275,0.0691795,0.0788894,0.0788894,0.0788894,0.0788894,0.0788894,0.0788894,0.0788894,0.0655,0.0005681,0.00156832,0.00180422
395,0.0814689,0.0814689,0.0572802,0.0509799,0.0509799,0.0509799,0.0509799,0.0509799,0.0509799,0.0509799,5.60E-05,5.60E-05,0.000154873,0.00017826,0.00017826,0.00017826,0.00017826,0.00017826,0.00017826,0.00017826,0.0184751,0.0184751,0.0425649,0.0488419,0.0488419,0.0488419,0.0488419,0.0488419,0.0488419,0.0488419,0.0327558,0.0327558,0.0691957,0.0789081,0.0789081,0.0789081,0.0789081,0.0789081,0.0789081,0.0789081,0.0655116,0.000560209,0.00154873,0.0017826
396,0.0815137,0.0815137,0.0573806,0.051095,0.051095,0.051095,0.051095,0.051095,0.051095,0.051095,5.53E-05,5.53E-05,0.000152974,0.000176165,0.000176165,0.000176165,0.000176165,0.000176165,0.000176165,0.000176165,0.018431,0.018431,0.0424664,0.0487289,0.0487289,0.0487289,0.0487289,0.0487289,0.0487289,0.0487289,0.0327615,0.0327615,0.0692118,0.0789267,0.0789267,0.0789267,0.0789267,0.0789267,0.0789267,0.0789267,0.0655231,0.000552556,0.00152974,0.00176165
397,0.0815585,0.0815585,0.0574809,0.0512099,0.0512099,0.0512099,0.0512099,0.0512099,0.0512099,0.0512099,5.45E-05,5.45E-05,0.000151133,0.000174134,0.000174134,0.000174134,0.000174134,0.000174134,0.000174134,0.000174134,0.018387,0.018387,0.0423679,0.048616,0.048616,0.048616,0.048616,0.048616,0.048616,0.048616,0.0327672,0.0327672,0.0692277,0.0789451,0.0789451,0.0789451,0.0789451,0.0789451,0.0789451,0.0789451,0.0655344,0.000545137,0.00151133,0.00174134
398,0.0816032,0.0816032,0.0575811,0.0513247,0.0513247,0.0513247,0.0513247,0.0513247,0.0513247,0.0513247,5.38E-05,5.38E-05,0.000149349,0.000172165,0.000172165,0.000172165,0.000172165,0.000172165,0.000172165,0.000172165,0.018343,0.018343,0.0422695,0.0485031,0.0485031,0.0485031,0.0485031,0.0485031,0.0485031,0.0485031,0.0327728,0.0327728,0.0692434,0.0789634,0.0789634,0.0789634,0.0789634,0.0789634,0.0789634,0.0789634,0.0655456,0.000537943,0.00149349,0.00172165
399,0.0816479,0.0816479,0.0576812,0.0514394,0.0514394,0.0514394,0.0514394,0.0514394,0.0514394,0.0514394,5.31E-05,5.31E-05,0.00014762,0.000170258,0.000170258,0.000170258,0.000170258,0.000170258,0.000170258,0.000170258,0.018299,0.018299,0.0421712,0.0483904,0.0483904,0.0483904,0.0483904,0.0483904,0.0483904,0.0483904,0.0327783,0.0327783,0.069259,0.0789814,0.0789814,0.0789814,0.0789814,0.0789814,0.0789814,0.0789814,0.0655567,0.000530969,0.0014762,0.00170258
400,0.0816925,0.0816925,0.0577812,0.0515539,0.0515539,0.0515539,0.0515539,0.0515539,0.0515539,0.0515539,5.24E-05,5.24E-05,0.000145944,0.00016841,0.00016841,0.00016841,0.00016841,0.00016841,0.00016841,0.00016841,0.0182551,0.0182551,0.0420729,0.0482777,0.0482777,0.0482777,0.0482777,0.0482777,0.0482777,0.0482777,0.0327838,0.0327838,0.0692745,0.0789993,0.0789993,0.0789993,0.0789993,0.0789993,0.0789993,0.0789993,0.0655676,0.000524209,0.00145944,0.0016841
401,0.081737,0.081737,0.057881,0.0516682,0.0516682,0.0516682,0.0516682,0.0516682,0.0516682,0.0516682,5.18E-05,5.18E-05,0.000144321,0.000166621,0.000166621,0.000166621,0.000166621,0.000166621,0.000166621,0.000166621,0.0182112,0.0182112,0.0419747,0.0481651,0.0481651,0.0481651,0.0481651,0.0481651,0.0481651,0.0481651,0.0327892,0.0327892,0.0692898,0.0790171,0.0790171,0.0790171,0.0790171,0.0790171,0.0790171,0.0790171,0.0655785,0.000517655,0.00144321,0.00166621
402,0.0817815,0.0817815,0.0579807,0.0517824,0.0517824,0.0517824,0.0517824,0.0517824,0.0517824,0.0517824,5.11E-05,5.11E-05,0.000142749,0.000164887,0.000164887,0.000164887,0.000164887,0.000164887,0.000164887,0.000164887,0.0181674,0.0181674,0.0418766,0.0480527,0.0480527,0.0480527,0.0480527,0.0480527,0.0480527,0.0480527,0.0327946,0.0327946,0.069305,0.0790347,0.0790347,0.0790347,0.0790347,0.0790347,0.0790347,0.0790347,0.0655892,0.000511304,0.00142749,0.00164887
403,0.0818259,0.0818259,0.0580802,0.0518965,0.0518965,0.0518965,0.0518965,0.0518965,0.0518965,0.0518965,5.05E-05,5.05E-05,0.000141226,0.000163209,0.000163209,0.000163209,0.000163209,0.000163209,0.000163209,0.000163209,0.0181236,0.0181236,0.0417786,0.0479403,0.0479403,0.0479403,0.0479403,0.0479403,0.0479403,0.0479403,0.0327999,0.0327999,0.06932,0.0790522,0.0790522,0.0790522,0.0790522,0.0790522,0.0790522,0.0790522,0.0655998,0.000505148,0.00141226,0.00163209
