t,Sv0,Sv1,Sh0,Sr0,Sr1,Sr2,Sr3,Sr4,Sr5,Sr6,Iv0,Iv1,Ih0,Ir0,Ir1,Ir2,Ir3,Ir4,Ir5,Ir6,Rv0,Rv1,Rh0,Rr0,Rr1,Rr2,Rr3,Rr4,Rr5,Rr6,cumIv0,cumIv1,cumIh0,cumIr0,cumIr1,cumIr2,cumIr3,cumIr4,cumIr5,cumIr6,cumIv,pIv,pIh,pIr
31,0.0997142,0.0997142,0.0997142,0.0997142,0.0997142,0.0997142,0.0997142,0.0997142,0.0997142,0.0997142,0.000125075,0.000125075,0.000125075,0.000125075,0.000125075,0.000125075,0.000125075,0.000125075,0.000125075,0.000125075,0.00016075,0.00016075,0.00016075,0.00016075,0.00016075,0.00016075,0.00016075,0.00016075,0.00016075,0.00016075,0.000280062,0.000280062,0.000280062,0.000280062,0.000280062,0.000280062,0.000280062,0.000280062,0.000280062,0.000280062,0.000560125,0.00125075,0.00125075,0.00125075
32,0.0996889,0.0996889,0.0996889,0.0996889,0.0996889,0.0996889,0.0996889,0.0996889,0.0996889,0.0996889,0.00013564,0.00013564,0.00013564,0.00013564,0.00013564,0.00013564,0.00013564,0.00013564,0.00013564,0.00013564,0.000175493,0.000175493,0.000175493,0.000175493,0.000175493,0.000175493,0.000175493,0.000175493,0.000175493,0.000175493,0.000305831,0.000305831,0.000305831,0.000305831,0.000305831,0.000305831,0.000305831,0.000305831,0.000305831,0.000305831,0.000611662,0.0013564,0.0013564,0.0013564
33,0.0996614,0.0996614,0.0996614,0.0996614,0.0996614,0.0996614,0.0996614,0.0996614,0.0996614,0.0996614,0.00014709,0.00014709,0.00014709,0.00014709,0.00014709,0.00014709,0.00014709,0.00014709,0.00014709,0.00014709,0.000191477,0.000191477,0.000191477,0.000191477,0.000191477,0.000191477,0.000191477,0.000191477,0.000191477,0.000191477,0.000333768,0.000333768,0.000333768,0.000333768,0.000333768,0.000333768,0.000333768,0.000333768,0.000333768,0.000333768,0.000667536,0.0014709,0.0014709,0.0014709
34,0.0996317,0.0996317,0.0996317,0.0996317,0.0996317,0.0996317,0.0996317,0.0996317,0.0996317,0.0996317,0.000159498,0.000159498,0.000159498,0.000159498,0.000159498,0.000159498,0.000159498,0.000159498,0.000159498,0.000159498,0.000208808,0.000208808,0.000208808,0.000208808,0.000208808,0.000208808,0.000208808,0.000208808,0.000208808,0.000208808,0.000364054,0.000364054,0.000364054,0.000364054,0.000364054,0.000364054,0.000364054,0.000364054,0.000364054,0.000364054,0.000728108,0.00159498,0.00159498,0.00159498
35,0.0995995,0.0995995,0.0995995,0.0995995,0.0995995,0.0995995,0.0995995,0.0995995,0.0995995,0.0995995,0.000172941,0.000172941,0.000172941,0.000172941,0.000172941,0.000172941,0.000172941,0.000172941,0.000172941,0.000172941,0.000227596,0.000227596,0.000227596,0.000227596,0.000227596,0.000227596,0.000227596,0.000227596,0.000227596,0.000227596,0.000396883,0.000396883,0.000396883,0.000396883,0.000396883,0.000396883,0.000396883,0.000396883,0.000396883,0.000396883,0.000793767,0.00172941,0.00172941,0.00172941
36,0.0995645,0.0995645,0.0995645,0.0995645,0.0995645,0.0995645,0.0995645,0.0995645,0.0995645,0.0995645,0.000187505,0.000187505,0.000187505,0.000187505,0.000187505,0.000187505,0.000187505,0.000187505,0.000187505,0.000187505,0.000247964,0.000247964,0.000247964,0.000247964,0.000247964,0.000247964,0.000247964,0.000247964,0.000247964,0.000247964,0.000432467,0.000432467,0.000432467,0.000432467,0.000432467,0.000432467,0.000432467,0.000432467,0.000432467,0.000432467,0.000864933,0.00187505,0.00187505,0.00187505
37,0.0995267,0.0995267,0.0995267,0.0995267,0.0995267,0.0995267,0.0995267,0.0995267,0.0995267,0.0995267,0.000203281,0.000203281,0.000203281,0.000203281,0.000203281,0.000203281,0.000203281,0.000203281,0.000203281,0.000203281,0.000270044,0.000270044,0.000270044,0.000270044,0.000270044,0.000270044,0.000270044,0.000270044,0.000270044,0.000270044,0.000471031,0.000471031,0.000471031,0.000471031,0.000471031,0.000471031,0.000471031,0.000471031,0.000471031,0.000471031,0.000942062,0.00203281,0.00203281,0.00203281
38,0.0994857,0.0994857,0.0994857,0.0994857,0.0994857,0.0994857,0.0994857,0.0994857,0.0994857,0.0994857,0.000220367,0.000220367,0.000220367,0.000220367,0.000220367,0.000220367,0.000220367,0.000220367,0.000220367,0.000220367,0.000293976,0.000293976,0.000293976,0.000293976,0.000293976,0.000293976,0.000293976,0.000293976,0.000293976,0.000293976,0.000512822,0.000512822,0.000512822,0.000512822,0.000512822,0.000512822,0.000512822,0.000512822,0.000512822,0.000512822,0.00102564,0.00220367,0.00220367,0.00220367
39,0.0994412,0.0994412,0.0994412,0.0994412,0.0994412,0.0994412,0.0994412,0.0994412,0.0994412,0.0994412,0.000238869,0.000238869,0.000238869,0.000238869,0.000238869,0.000238869,0.000238869,0.000238869,0.000238869,0.000238869,0.000319916,0.000319916,0.000319916,0.000319916,0.000319916,0.000319916,0.000319916,0.000319916,0.000319916,0.000319916,0.000558104,0.000558104,0.000558104,0.000558104,0.000558104,0.000558104,0.000558104,0.000558104,0.000558104,0.000558104,0.00111621,0.00238869,0.00238869,0.00238869
40,0.0993931,0.0993931,0.0993931,0.0993931,0.0993931,0.0993931,0.0993931,0.0993931,0.0993931,0.0993931,0.000258901,0.000258901,0.000258901,0.000258901,0.000258901,0.000258901,0.000258901,0.000258901,0.000258901,0.000258901,0.000348029,0.000348029,0.000348029,0.000348029,0.000348029,0.000348029,0.000348029,0.000348029,0.000348029,0.000348029,0.000607163,0.000607163,0.000607163,0.000607163,0.000607163,0.000607163,0.000607163,0.000607163,0.000607163,0.000607163,0.00121433,0.00258901,0.00258901,0.00258901
