t,pSv,pSh,pSr,pIv,pIh,pIr,pRv,pRh,pRr
81,0.90527,0.904475,0.9062,0.02245625,0.02353965,0.0231693,0.001505688,0.0719835,3.390264
82,0.90346,0.902475,0.904225,0.0218805,0.02302455,0.0226683,0.001555385,0.0744995,3.509184
83,0.901705,0.900535,0.902305,0.02132305,0.02251635,0.02217345,0.001603573,0.076949,3.624984
84,0.900005,0.89865,0.900445,0.0207826,0.0220152,0.02168495,0.001650292,0.079333,3.737736
85,0.898355,0.896825,0.89864,0.02025815,0.02152125,0.02120305,0.001695594,0.081653,3.84744
86,0.896755,0.895055,0.896895,0.0197488,0.02103465,0.0207279,0.00173951,0.083909,3.954192
87,0.895205,0.89334,0.8952,0.01925365,0.0205555,0.02025965,0.001782094,0.0861025,4.057992
88,0.893705,0.89168,0.893555,0.018772,0.0200839,0.01979845,0.001823375,0.0882345,4.158912
89,0.892255,0.890075,0.89197,0.01830315,0.01961995,0.01934435,0.001863385,0.0903065,4.257024
90,0.89085,0.888515,0.89043,0.01784655,0.0191637,0.01889755,0.001902167,0.092319,4.352304
91,0.88949,0.88701,0.88894,0.0174016,0.0187152,0.0184581,0.00193975,0.0942735,4.444872
92,0.888175,0.885555,0.8875,0.01696785,0.01827455,0.018026,0.001976156,0.096171,4.534752
93,0.886905,0.884145,0.886105,0.01654485,0.01784175,0.0176014,0.002011427,0.098012,4.621992
94,0.88568,0.882785,0.88476,0.01613225,0.01741675,0.0171843,0.002045583,0.099798,4.706616
95,0.884495,0.88147,0.88346,0.01572965,0.01699965,0.0167747,0.002078667,0.10153,4.78872
96,0.88335,0.8802,0.882205,0.0153367,0.0165904,0.01637265,0.002110688,0.1032095,4.868304
97,0.882245,0.878975,0.88099,0.0149531,0.016189,0.01597815,0.002141677,0.104837,4.945464
98,0.88118,0.87779,0.87982,0.01457865,0.0157954,0.01559115,0.002171667,0.1064135,5.020224
99,0.880155,0.87665,0.87869,0.014213,0.0154096,0.0152117,0.002200667,0.1079405,5.092632
100,0.879165,0.87555,0.877605,0.01385595,0.01503155,0.01483975,0.002228719,0.109419,5.162736
101,0.878215,0.87449,0.876555,0.0135073,0.01466115,0.01447525,0.002255833,0.1108495,5.230608
102,0.877295,0.87347,0.875545,0.0131668,0.0142984,0.0141182,0.002282042,0.1122335,5.296248
103,0.876415,0.872485,0.87457,0.0128343,0.01394325,0.01376845,0.002307354,0.113572,5.359752
104,0.875565,0.87154,0.873635,0.01250955,0.0135956,0.01342605,0.002331802,0.1148655,5.421144
105,0.87475,0.87063,0.872735,0.01219245,0.0132554,0.0130909,0.002355406,0.1161155,5.480472
106,0.873965,0.869755,0.871865,0.01188275,0.01292255,0.0127629,0.002378188,0.117323,5.537784
107,0.87321,0.868915,0.871035,0.01158035,0.012597,0.01244205,0.002400156,0.118489,5.593104
108,0.87249,0.868105,0.870235,0.01128505,0.0122786,0.0121282,0.002421344,0.119614,5.646528
109,0.8718,0.867335,0.86947,0.01099675,0.0119673,0.01182125,0.002441771,0.1206995,5.698056
110,0.871135,0.86659,0.868735,0.01071525,0.01166305,0.0115212,0.002461448,0.121746,5.747736
111,0.8705,0.86588,0.86803,0.01044045,0.01136565,0.0112279,0.002480385,0.122755,5.79564
112,0.869895,0.8652,0.867355,0.0101722,0.0110751,0.0109413,0.002498625,0.1237265,5.841768
113,0.869315,0.864545,0.86671,0.00991035,0.01079125,0.01066125,0.002516156,0.124662,5.886216
114,0.86876,0.86392,0.866085,0.0096525,0.0105196,0.01039585,0.002533021,0.1255625,5.928984
115,0.86824,0.863305,0.86547,0.0093975,0.01026535,0.01015235,0.002549219,0.1264295,5.970216
116,0.867745,0.862705,0.86486,0.00914685,0.01002795,0.00992935,0.00256475,0.127266,6.010032
117,0.867275,0.86212,0.864265,0.00890195,0.00980685,0.0097258,0.002579646,0.1280735,6.048552
